trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.001, 'e': 0.9075560061332727}",20,0,-98.88373237473934,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
98,False,"{'a': 0.001, 'e': 0.9066489037539209}",25,0,-186.9943234992816,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
99,False,"{'a': 0.001, 'e': 0.9057427080235485}",25,0,-154.67097309697363,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
100,False,"{'a': 0.001, 'e': 0.9048374180359595}",25,0,-124.55936541690421,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
101,False,"{'a': 0.001, 'e': 0.9039330328858641}",30,0,-60.699123464524135,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.001, 'e': 0.9030295516688768}",25,0,-181.65711340855262,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
103,False,"{'a': 0.001, 'e': 0.9021269734815165}",20,0,-180.45206457240786,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
104,False,"{'a': 0.001, 'e': 0.9012252974212047}",20,0,-134.36303647392117,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
105,False,"{'a': 0.001, 'e': 0.9003245225862656}",25,0,-75.7383827903969,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
106,False,"{'a': 0.001, 'e': 0.899424648075924}",20,0,-57.37618278709302,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
107,False,"{'a': 0.001, 'e': 0.8985256729903055}",30,0,-35.53080642469861,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
108,False,"{'a': 0.001, 'e': 0.8976275964304349}",20,0,-64.96527112678206,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 0.001, 'e': 0.8967304174982355}",25,0,-75.33243818361888,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
110,False,"{'a': 0.001, 'e': 0.8958341352965282}",20,0,-117.57208832102688,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
111,False,"{'a': 0.001, 'e': 0.894938748929031}",25,0,-48.65131900899939,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
112,False,"{'a': 0.001, 'e': 0.8940442575003572}",25,11,-74.25199198522152,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
113,False,"{'a': 0.001, 'e': 0.8931506601160155}",30,0,-176.61459775835195,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
114,False,"{'a': 0.001, 'e': 0.8922579558824083}",20,0,-80.09141243417317,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.001, 'e': 0.8913661439068313}",20,0,-46.429031517210454,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
116,False,"{'a': 0.001, 'e': 0.8904752232974726}",20,0,-49.35743259425117,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
117,False,"{'a': 0.001, 'e': 0.8895851931634113}",20,0,-147.66652891316244,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
118,False,"{'a': 0.001, 'e': 0.8886960526146174}",20,0,-130.3118828175053,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
119,False,"{'a': 0.001, 'e': 0.8878078007619501}",35,0,-86.01465483364119,"{0: 26, 1: 2, 2: 6, 3: 0, 4: 1}",0
120,False,"{'a': 0.001, 'e': 0.8869204367171575}",20,0,-92.08625442708235,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
121,False,"{'a': 0.001, 'e': 0.8860339595928756}",20,0,-42.79385193014671,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
122,False,"{'a': 0.001, 'e': 0.8851483685026271}",20,0,-54.15058122558031,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
123,False,"{'a': 0.001, 'e': 0.8842636625608209}",25,0,-115.03716157332752,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
124,False,"{'a': 0.001, 'e': 0.8833798408827509}",20,0,-83.32086928818742,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
125,False,"{'a': 0.001, 'e': 0.8824969025845955}",25,0,-103.39056625778632,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
126,False,"{'a': 0.001, 'e': 0.8816148467834161}",25,0,-89.59194453958243,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
127,False,"{'a': 0.001, 'e': 0.880733672597157}",35,0,-105.12743445795604,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 1}",0
128,False,"{'a': 0.001, 'e': 0.8798533791446438}",20,0,-101.93124772622828,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
129,False,"{'a': 0.001, 'e': 0.8789739655455832}",20,0,-52.91607491454798,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
130,False,"{'a': 0.001, 'e': 0.8780954309205613}",35,0,-98.70208813471768,"{0: 22, 1: 7, 2: 5, 3: 0, 4: 1}",0
131,False,"{'a': 0.001, 'e': 0.8772177743910435}",20,0,-168.69772262269333,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
132,False,"{'a': 0.001, 'e': 0.8763409950793732}",20,0,-22.114691211511783,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
133,False,"{'a': 0.001, 'e': 0.8754650921087711}",20,0,-166.04745455286334,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
134,False,"{'a': 0.001, 'e': 0.874590064603334}",20,0,-98.12557806829147,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
135,False,"{'a': 0.001, 'e': 0.8737159116880344}",30,0,-163.81937549468563,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
136,False,"{'a': 0.001, 'e': 0.8728426324887193}",20,0,-151.11645478328433,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
137,False,"{'a': 0.001, 'e': 0.8719702261321094}",20,0,-77.7333721223566,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
138,False,"{'a': 0.001, 'e': 0.8710986917457983}",25,0,-93.53355135729365,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
139,False,"{'a': 0.001, 'e': 0.8702280284582515}",25,0,-141.05933620828682,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
140,False,"{'a': 0.001, 'e': 0.8693582353988059}",20,0,-10.241042801113371,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.001, 'e': 0.8684893116976679}",25,0,-205.9179821821797,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 5}",0
