trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
849,False,"{'a': 0.001, 'e': 0.427842560659395}",30,6,3.8953387023614052,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
850,False,"{'a': 0.001, 'e': 0.4274149319487267}",30,21,11.536892099191546,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
851,False,"{'a': 0.001, 'e': 0.4269877306530259}",25,20,8.857777459690219,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
852,False,"{'a': 0.001, 'e': 0.4265609563450914}",20,0,-88.92807586457923,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
853,False,"{'a': 0.001, 'e': 0.4261346085981487}",25,19,3.6982901270425206,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
854,False,"{'a': 0.001, 'e': 0.4257086869858502}",20,0,-34.00687868783827,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
855,False,"{'a': 0.001, 'e': 0.42528319108227414}",20,13,14.376671902398778,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
856,False,"{'a': 0.001, 'e': 0.42485812046192456}",20,8,-9.757529710739092,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
857,False,"{'a': 0.001, 'e': 0.4244334746997309}",20,11,11.01677835157567,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
858,False,"{'a': 0.001, 'e': 0.4240092533710473}",35,5,-96.5047251521392,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",1
859,False,"{'a': 0.001, 'e': 0.4235854560516524}",20,0,-104.4622989356774,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
860,False,"{'a': 0.001, 'e': 0.4231620823177488}",35,12,-3.6747359808460844,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
861,False,"{'a': 0.001, 'e': 0.42273913174596284}",25,13,-0.38761663239305655,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
862,False,"{'a': 0.001, 'e': 0.42231660391334386}",25,11,2.3550822045928066,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
863,False,"{'a': 0.001, 'e': 0.4218944983973639}",20,12,-48.04641974491537,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
864,False,"{'a': 0.001, 'e': 0.42147281477591764}",35,27,5.9597481263575265,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
865,False,"{'a': 0.001, 'e': 0.4210515526273212}",20,9,18.233701121738235,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
866,False,"{'a': 0.001, 'e': 0.42063071153031245}",30,8,-49.004853037259885,"{0: 17, 1: 3, 2: 0, 3: 1, 4: 1}",1
867,False,"{'a': 0.001, 'e': 0.4202102910640503}",25,0,-42.11418565805573,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
868,False,"{'a': 0.001, 'e': 0.41979029080811425}",20,7,-28.776494589961516,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
869,False,"{'a': 0.001, 'e': 0.41937071034250395}",25,12,-22.573697260636315,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
870,False,"{'a': 0.001, 'e': 0.418951549247639}",30,0,-104.43306966781213,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
871,False,"{'a': 0.001, 'e': 0.41853280710435814}",20,0,0.951413728014971,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
872,False,"{'a': 0.001, 'e': 0.41811448349391933}",20,0,27.62520246302381,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
873,False,"{'a': 0.001, 'e': 0.4176965779979988}",20,0,-67.78069439480079,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
874,False,"{'a': 0.001, 'e': 0.41727909019869114}",25,2,-46.04415706332327,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 0}",1
875,False,"{'a': 0.001, 'e': 0.4168620196785084}",25,0,-36.02864974175211,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
876,False,"{'a': 0.001, 'e': 0.41644536602038007}",25,12,-19.902668466537218,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
877,False,"{'a': 0.001, 'e': 0.4160291288076525}",30,15,-29.27288491715443,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
878,False,"{'a': 0.001, 'e': 0.4156133076240884}",25,0,-59.508918614631554,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
879,False,"{'a': 0.001, 'e': 0.4151979020538666}",20,0,-0.9764685015706531,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
880,False,"{'a': 0.001, 'e': 0.4147829116815814}",20,0,-33.515722425249095,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
881,False,"{'a': 0.001, 'e': 0.41436833609224244}",25,20,11.118453183488658,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
882,False,"{'a': 0.001, 'e': 0.4139541748712741}",30,2,2.284383616943581,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 0}",1
883,False,"{'a': 0.001, 'e': 0.41354042760451515}",25,14,8.247839832404615,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
884,False,"{'a': 0.001, 'e': 0.4131270938782182}",20,14,-0.9262486831544652,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
885,False,"{'a': 0.001, 'e': 0.41271417327904963}",25,0,-7.941265402886213,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
886,False,"{'a': 0.001, 'e': 0.41230166539408875}",20,3,17.46004644713549,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
887,False,"{'a': 0.001, 'e': 0.4118895698108276}",20,6,7.111700466837645,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
888,False,"{'a': 0.001, 'e': 0.41147788611717057}",25,8,-71.25579188691835,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
889,False,"{'a': 0.001, 'e': 0.41106661390143395}",30,1,-153.15939836278486,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 2}",1
890,False,"{'a': 0.001, 'e': 0.4106557527523455}",20,0,-0.4254836228039909,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
891,False,"{'a': 0.001, 'e': 0.410245302259044}",20,0,-49.66099831540478,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
892,False,"{'a': 0.001, 'e': 0.40983526201107895}",30,4,-33.98635758119176,"{0: 20, 1: 3, 2: 1, 3: 2, 4: 0}",1
893,False,"{'a': 0.001, 'e': 0.40942563159841006}",25,0,-53.00344666823189,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
894,False,"{'a': 0.001, 'e': 0.4090164106114069}",20,8,-44.28228469727519,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
895,False,"{'a': 0.001, 'e': 0.40860759864084845}",20,8,9.535364643502213,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
896,False,"{'a': 0.001, 'e': 0.4081991952779227}",30,10,14.262844334134543,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
897,False,"{'a': 0.001, 'e': 0.4077912001142262}",30,10,-93.96457025089806,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",1
898,False,"{'a': 0.001, 'e': 0.4073836127417638}",20,16,8.680071855314303,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
899,False,"{'a': 0.001, 'e': 0.40697643275294815}",30,14,-21.832806410593964,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
900,False,"{'a': 0.001, 'e': 0.4065696597405991}",25,14,-6.119849462269597,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
901,False,"{'a': 0.001, 'e': 0.4061632932979437}",25,0,-62.47693474416718,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
902,False,"{'a': 0.001, 'e': 0.40575733301861544}",25,0,-89.32300006515004,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
903,False,"{'a': 0.001, 'e': 0.405351778496654}",30,9,22.518067416094464,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
904,False,"{'a': 0.001, 'e': 0.4049466293265049}",25,16,6.814125805035483,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
905,False,"{'a': 0.001, 'e': 0.4045418851030188}",20,6,-31.47913446545354,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
906,False,"{'a': 0.001, 'e': 0.4041375454214515}",25,14,15.544400028633774,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
907,False,"{'a': 0.001, 'e': 0.4037336098774634}",20,11,2.7315438337982636,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
908,False,"{'a': 0.001, 'e': 0.40333007806711874}",20,0,-56.9414706593196,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
909,False,"{'a': 0.001, 'e': 0.40292694958688574}",25,10,20.40943375047457,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
910,False,"{'a': 0.001, 'e': 0.40252422403363597}",20,0,-36.1315412861335,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
911,False,"{'a': 0.001, 'e': 0.40212190100464373}",35,18,-31.063407367261057,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
912,False,"{'a': 0.001, 'e': 0.401719980097586}",20,6,-12.721280465874344,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
913,False,"{'a': 0.001, 'e': 0.4013184609105419}",25,7,-86.21709340136664,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 2}",1
914,False,"{'a': 0.001, 'e': 0.4009173430419921}",20,5,-1.043467655080718,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
915,False,"{'a': 0.001, 'e': 0.4005166260908188}",30,19,-5.57808026212046,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
916,False,"{'a': 0.001, 'e': 0.40011630965630496}",20,0,-78.7357292819803,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
917,False,"{'a': 0.001, 'e': 0.3997163933381341}",25,15,-3.3967458166694495,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
918,False,"{'a': 0.001, 'e': 0.3993168767363899}",20,0,-24.204858504052574,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
919,False,"{'a': 0.001, 'e': 0.39891775945155566}",20,0,-1.0825168450845606,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
920,False,"{'a': 0.001, 'e': 0.39851904108451414}",30,14,-51.72221311673205,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 0}",1
921,False,"{'a': 0.001, 'e': 0.39812072123654696}",20,8,-12.042357237345513,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
922,False,"{'a': 0.001, 'e': 0.39772279950933415}",20,3,13.537086103160325,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
923,False,"{'a': 0.001, 'e': 0.397325275504954}",20,8,-18.02755874103279,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
924,False,"{'a': 0.001, 'e': 0.39692814882588245}",30,9,-50.63887192158284,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 1}",1
925,False,"{'a': 0.001, 'e': 0.39653141907499284}",30,8,-17.27573424416472,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
926,False,"{'a': 0.001, 'e': 0.39613508585555535}",20,10,15.3720274299896,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
927,False,"{'a': 0.001, 'e': 0.3957391487712367}",20,11,-15.862250531623529,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
928,False,"{'a': 0.001, 'e': 0.3953436074260998}",25,5,-47.860435413893455,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
929,False,"{'a': 0.001, 'e': 0.39494846142460327}",20,3,7.116270734345462,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
930,False,"{'a': 0.001, 'e': 0.3945537103716011}",20,1,9.763713810632613,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
931,False,"{'a': 0.001, 'e': 0.3941593538723422}",20,9,-23.503548961567432,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
932,False,"{'a': 0.001, 'e': 0.39376539153247}",20,10,-14.932417613320828,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
933,False,"{'a': 0.001, 'e': 0.3933718229580221}",20,13,-12.60057944553653,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
934,False,"{'a': 0.001, 'e': 0.39297864775542996}",20,3,-15.190009361279074,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
935,False,"{'a': 0.001, 'e': 0.39258586553151836}",25,3,-142.8777138130349,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 3}",1
936,False,"{'a': 0.001, 'e': 0.39219347589350495}",20,5,-9.09708145278425,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
937,False,"{'a': 0.001, 'e': 0.39180147844900015}",25,0,-29.76295391201285,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
938,False,"{'a': 0.001, 'e': 0.3914098728060065}",20,7,-2.3318732999486818,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
939,False,"{'a': 0.001, 'e': 0.3910186585729182}",25,7,-0.2243392308460983,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
940,False,"{'a': 0.001, 'e': 0.3906278353585211}",20,2,-0.29523102407893487,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
941,False,"{'a': 0.001, 'e': 0.39023740277199187}",30,13,-15.068149979513754,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
942,False,"{'a': 0.001, 'e': 0.38984736042289797}",20,9,3.20788372233379,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
943,False,"{'a': 0.001, 'e': 0.38945770792119694}",20,0,27.970272025713403,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
944,False,"{'a': 0.001, 'e': 0.3890684448772363}",20,10,-83.38640524436381,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 2}",1
945,False,"{'a': 0.001, 'e': 0.388679570901753}",25,10,-5.985166566416927,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
946,False,"{'a': 0.001, 'e': 0.38829108560587294}",25,15,-38.07454386066737,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
947,False,"{'a': 0.001, 'e': 0.3879029886011109}",25,14,19.92956830052147,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
948,False,"{'a': 0.001, 'e': 0.3875152794993697}",20,15,9.739656715849147,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
949,False,"{'a': 0.001, 'e': 0.38712795791294036}",30,0,19.03160382019885,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
950,False,"{'a': 0.001, 'e': 0.3867410234545012}",20,12,2.523327545745447,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
951,False,"{'a': 0.001, 'e': 0.3863544757371177}",20,8,21.336703665146153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
952,False,"{'a': 0.001, 'e': 0.3859683143742421}",30,16,-20.958791849817622,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
953,False,"{'a': 0.001, 'e': 0.38558253897971306}",25,14,9.818420972202802,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
954,False,"{'a': 0.001, 'e': 0.38519714916775516}",25,8,-4.271443812754814,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
955,False,"{'a': 0.001, 'e': 0.3848121445529785}",20,10,-4.543488213905058,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
956,False,"{'a': 0.001, 'e': 0.3844275247503785}",25,15,17.695854024024595,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
957,False,"{'a': 0.001, 'e': 0.3840432893753352}",20,6,-52.28672412553332,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 0}",1
958,False,"{'a': 0.001, 'e': 0.38365943804361335}",20,10,8.618113461373612,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
959,False,"{'a': 0.001, 'e': 0.3832759703713615}",25,11,-33.70914354464064,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
960,False,"{'a': 0.001, 'e': 0.38289288597511206}",20,3,-7.3352792441097865,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
961,False,"{'a': 0.001, 'e': 0.38251018447178037}",25,9,1.6664427974760099,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
962,False,"{'a': 0.001, 'e': 0.38212786547866506}",20,10,-3.7113186375543115,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
963,False,"{'a': 0.001, 'e': 0.3817459286134471}",25,2,-8.92766722166841,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
964,False,"{'a': 0.001, 'e': 0.38136437349418956}",25,7,-30.49018261884651,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
965,False,"{'a': 0.001, 'e': 0.38098319973933725}",25,12,25.101231626494226,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
966,False,"{'a': 0.001, 'e': 0.38060240696771647}",20,4,-3.7768587617444536,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
967,False,"{'a': 0.001, 'e': 0.38022199479853436}",20,11,-28.86054285899174,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
968,False,"{'a': 0.001, 'e': 0.3798419628513787}",20,0,-36.314501390325695,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
969,False,"{'a': 0.001, 'e': 0.37946231074621756}",20,0,11.607291796463713,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
970,False,"{'a': 0.001, 'e': 0.37908303810339883}",25,0,-22.205097510878705,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
971,False,"{'a': 0.001, 'e': 0.37870414454364976}",30,2,-62.51715804509528,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 2}",1
972,False,"{'a': 0.001, 'e': 0.3783256296880768}",25,0,-33.932683065879324,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",1
973,False,"{'a': 0.001, 'e': 0.37794749315816506}",20,3,25.215887417899648,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
974,False,"{'a': 0.001, 'e': 0.37756973457577797}",25,0,-20.739525738271926,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
975,False,"{'a': 0.001, 'e': 0.37719235356315695}",20,4,-6.548385211912543,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
976,False,"{'a': 0.001, 'e': 0.37681534974292086}",30,22,-6.821848564058281,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
977,False,"{'a': 0.001, 'e': 0.37643872273806595}",20,7,-2.7209820404850134,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
978,False,"{'a': 0.001, 'e': 0.37606247217196515}",25,12,-40.20196463004914,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
979,False,"{'a': 0.001, 'e': 0.37568659766836787}",25,12,6.8446511016109595,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
980,False,"{'a': 0.001, 'e': 0.37531109885139957}",35,16,-52.77083088665414,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
981,False,"{'a': 0.001, 'e': 0.37493597534556133}",25,18,-3.1665300646174073,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
982,False,"{'a': 0.001, 'e': 0.3745612267757298}",25,8,-16.943450480312563,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
983,False,"{'a': 0.001, 'e': 0.37418685276715613}",25,12,-16.831594255818178,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
984,False,"{'a': 0.001, 'e': 0.3738128529454665}",25,0,-25.466427627688844,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
985,False,"{'a': 0.001, 'e': 0.37343922693666093}",25,0,-49.77317472540043,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
986,False,"{'a': 0.001, 'e': 0.3730659743671134}",25,15,-29.685213167102113,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
987,False,"{'a': 0.001, 'e': 0.3726930948635714}",20,0,-18.240885755530318,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
988,False,"{'a': 0.001, 'e': 0.3723205880531552}",20,0,2.8516098756987804,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
989,False,"{'a': 0.001, 'e': 0.3719484535633582}",25,0,-91.28819886278082,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
990,False,"{'a': 0.001, 'e': 0.3715766910220457}",35,24,17.62041707677163,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
991,False,"{'a': 0.001, 'e': 0.37120530005745517}",25,0,-45.09561014326666,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
992,False,"{'a': 0.001, 'e': 0.37083428029819565}",20,0,-29.210689902138817,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
993,False,"{'a': 0.001, 'e': 0.37046363137324734}",20,0,-2.9448543995062177,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
994,False,"{'a': 0.001, 'e': 0.37009335291196127}",20,11,6.672387472297839,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
995,False,"{'a': 0.001, 'e': 0.369723444544059}",35,24,9.689391939866994,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
996,False,"{'a': 0.001, 'e': 0.369353905899632}",25,0,-3.989681035436635,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
997,False,"{'a': 0.001, 'e': 0.3689847366091418}",25,6,-31.683571965713202,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
998,False,"{'a': 0.001, 'e': 0.3686159363034188}",20,15,-3.161692411427482,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
999,False,"{'a': 0.001, 'e': 0.3682475046136629}",25,15,12.38815458991739,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1000,False,"{'a': 0.001, 'e': 0.36787944117144233}",20,9,0.5290174047286844,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
1001,False,"{'a': 0.001, 'e': 0.3675117456086935}",25,12,-24.882344534537253,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
1002,False,"{'a': 0.001, 'e': 0.36714441755772104}",20,10,-34.72795761180217,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
1003,False,"{'a': 0.001, 'e': 0.3667774566511966}",25,0,-53.45574183377853,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
1004,False,"{'a': 0.001, 'e': 0.3664108625221595}",20,0,-24.992792752642554,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
1005,False,"{'a': 0.001, 'e': 0.36604463480401533}",20,3,24.15503418930193,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1006,False,"{'a': 0.001, 'e': 0.36567877313053654}",30,10,-31.90291533198463,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
1007,False,"{'a': 0.001, 'e': 0.3653132771358613}",30,19,4.6232187422880395,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1008,False,"{'a': 0.001, 'e': 0.36494814645449375}",30,4,-60.7736994376128,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 1}",1
1009,False,"{'a': 0.001, 'e': 0.3645833807213029}",20,5,-30.50405249896417,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
1010,False,"{'a': 0.001, 'e': 0.3642189795715233}",25,18,11.284017725378725,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1011,False,"{'a': 0.001, 'e': 0.3638549426407535}",25,0,-114.0374731900838,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
1012,False,"{'a': 0.001, 'e': 0.3634912695649568}",25,10,12.527865201150838,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1013,False,"{'a': 0.001, 'e': 0.3631279599804599}",35,13,-10.492492466171209,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
1014,False,"{'a': 0.001, 'e': 0.36276501352395324}",30,0,-90.13632790040208,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
1015,False,"{'a': 0.001, 'e': 0.36240242983249027}",20,8,-17.565126192669975,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1016,False,"{'a': 0.001, 'e': 0.36204020854348745}",25,6,4.153535393123346,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
1017,False,"{'a': 0.001, 'e': 0.36167834929472326}",20,7,-16.130100729661827,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
1018,False,"{'a': 0.001, 'e': 0.36131685172433853}",25,11,-20.402148217475133,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
1019,False,"{'a': 0.001, 'e': 0.3609557154708356}",20,4,-31.667711813576602,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
1020,False,"{'a': 0.001, 'e': 0.3605949401730783}",20,0,-128.25457607393582,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
1021,False,"{'a': 0.001, 'e': 0.3602345254702911}",20,8,-57.28245299866778,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
1022,False,"{'a': 0.001, 'e': 0.35987447100205955}",20,10,-5.303391874488055,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
1023,False,"{'a': 0.001, 'e': 0.35951477640832885}",35,21,0.8307566675662224,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
1024,False,"{'a': 0.001, 'e': 0.3591554413294046}",25,10,7.718949613631567,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
1025,False,"{'a': 0.001, 'e': 0.3587964654059516}",25,5,11.126583583088566,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
1026,False,"{'a': 0.001, 'e': 0.3584378482789939}",20,0,22.6240270379865,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1027,False,"{'a': 0.001, 'e': 0.35807958958991437}",20,6,-43.65471106410028,"{0: 9, 1: 4, 2: 0, 3: 0, 4: 1}",1
1028,False,"{'a': 0.001, 'e': 0.3577216889804542}",20,8,-33.163703551949816,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1029,False,"{'a': 0.001, 'e': 0.3573641460927129}",20,0,-23.963311261048773,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
1030,False,"{'a': 0.001, 'e': 0.3570069605691474}",30,22,14.754319924889328,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1031,False,"{'a': 0.001, 'e': 0.35665013205257223}",20,1,-16.426986947948283,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
